epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.2214,2.56232,3.82094,1.67329,0.21598,0.11804,0.0777,0.02778,2.55619,3.39836,1.59027,0.000663158,0.000663158,0.000663158
2,92.3091,2.45025,2.9146,1.55193,0.18611,0.16346,0.0825,0.02654,2.60448,3.20935,1.58415,0.001264,0.001264,0.001264
3,132.897,2.38108,2.58792,1.54027,0.17177,0.17308,0.07018,0.02013,2.57859,2.89353,1.61496,0.00179884,0.00179884,0.00179884
4,172.003,2.3915,2.60496,1.53205,0.27821,0.22082,0.15677,0.05564,2.46454,2.68141,1.52687,0.001703,0.001703,0.001703
5,207.582,2.35022,2.4856,1.50361,0.31857,0.24536,0.18461,0.06556,2.36108,2.43314,1.45288,0.001604,0.001604,0.001604
6,242.834,2.29965,2.36345,1.49162,0.28296,0.2185,0.15845,0.05429,2.44405,2.69638,1.5196,0.001505,0.001505,0.001505
7,279.995,2.28053,2.33739,1.48547,0.32448,0.26061,0.18151,0.06453,2.38219,2.65769,1.47504,0.001406,0.001406,0.001406
8,315.183,2.23475,2.33151,1.4807,0.29775,0.22115,0.16136,0.05866,2.35439,2.50137,1.48443,0.001307,0.001307,0.001307
9,350.477,2.19724,2.20306,1.44613,0.37911,0.28979,0.23741,0.08715,2.2778,2.26313,1.44988,0.001208,0.001208,0.001208
10,384.93,2.22123,2.23566,1.46138,0.35322,0.28548,0.24504,0.08903,2.27437,2.20666,1.43245,0.001109,0.001109,0.001109
11,446.96,2.18185,2.20778,1.48942,0.36317,0.30637,0.256,0.09354,2.28086,2.20041,1.4332,0.00101,0.00101,0.00101
12,482.152,2.15667,2.14199,1.48128,0.38311,0.28946,0.25111,0.0968,2.23833,2.12354,1.4093,0.000911,0.000911,0.000911
13,518.23,2.12491,2.07821,1.46009,0.44104,0.32394,0.31231,0.11663,2.24502,2.02733,1.4203,0.000812,0.000812,0.000812
14,557.304,2.12716,2.05555,1.45324,0.43893,0.32626,0.30072,0.11454,2.23198,2.04397,1.38404,0.000713,0.000713,0.000713
15,592.374,2.10403,2.0349,1.44405,0.42263,0.35279,0.3065,0.11502,2.20527,2.03892,1.42079,0.000614,0.000614,0.000614
16,627.98,2.09068,2.0093,1.45186,0.4455,0.33588,0.32131,0.12477,2.1941,1.9759,1.4018,0.000515,0.000515,0.000515
17,664.527,2.06684,1.91764,1.41144,0.50951,0.34682,0.35267,0.13449,2.18542,1.92562,1.38851,0.000416,0.000416,0.000416
18,700.177,2.04296,1.90177,1.41083,0.52747,0.34615,0.36241,0.14124,2.1643,1.89094,1.37093,0.000317,0.000317,0.000317
19,735.868,2.01959,1.83784,1.38836,0.52793,0.35942,0.3692,0.14399,2.14554,1.86925,1.37537,0.000218,0.000218,0.000218
20,771.88,2.01836,1.81255,1.39459,0.52407,0.35875,0.37353,0.14772,2.14016,1.82959,1.35994,0.000119,0.000119,0.000119
